Percentage,Number,Location,ID
20,"267,840",תלמי אליהו,1051
20,"267,840",בארי,399
20,"267,840",זיקים,584
20,"267,840",נירים,602
20,"267,840",שדרות,1031
20,"267,840",עמיעוז,318
20,"267,840",יבול,1232
20,"267,840",יד מרדכי,358
20,"267,840",ניר עם,348
20,"267,840",איבים,338
20,"267,840",שובה,761
20,"267,840",תלמי יוסף,1237
20,"259,920",קריית שמונה,2800
20,"267,840",שדי אברהם,1223
20,"267,840",יכיני,811
20,"259,920",ע'ג'ר,"4,501"
20,"267,840",עלומים,"1,146"
20,"267,840",סעד,454
20,"267,840",שוקדה,415
20,"267,840",בני נצרים,1363
20,"267,840",אוהד,"1,046"
20,"267,840",גבים,424
20,"267,840",נחל עוז,844
20,"267,840",ישע,916
20,"267,840",יתד,1227
20,"267,840",חולית,1239
20,"267,840",גברעם,342
20,"267,840",כיסופים,840
20,"267,840",ניר יצחק,402
20,"267,840",ברור חיל,428
20,"267,840",זמרת,1065
20,"267,840",ניר עוז,69
18,"259,920",מצפה רמון,99
18,"259,920",שגב-שלום,"1,286"
18,"259,920",ערערה-בנגב,"1,192"
18,"259,920",תל שבע,1054
18,"259,920",חורה,1303
18,"259,920",ירוחם,831
18,"259,920",אופקים,31
18,"259,920",כסיפה,"1,059"
18,"259,920",ערד,"2,560"
18,"259,920",לקיה,1060
16,"226,560",נתיבות,246
16,"213,240",דימונה,2200
16,"226,560",רהט,"1,161"
14,"219,960",אדמית,"1,068"
14,"219,960",אביבים,"1,115"
14,"219,960",שומרה,614
14,"219,960",יובל,2009
14,"219,960",מתת,1184
14,"219,960",מנרה,347
14,"259,920",מסעדה,4203
14,"219,960",ברעם,667
14,"219,960",חניתה,280
14,"259,920",חורפיש,496
14,"219,960",יערה,795
14,"219,960",מעיין ברוך,416
14,"219,960",דפנה,302
14,"259,920",מעלות-תרשיחא,1063
14,"219,960",דישון,2063
14,"259,920",עין קנייא,"4,502"
14,"219,960",דוב&quot;ב,1067
14,"219,960",מרגליות,843
14,"219,960",נטועה,1147
14,"219,960",מלכייה,596
14,"219,960",יפתח,453
14,"219,960",אלוני הבשן,"4,017"
14,"259,920",פסוטה,535
14,"219,960",כפר רוזנואלד( זרעית),1130
14,"219,960",כפר ראש הנקרה,579
14,"259,920",פקיעין( בוקייעה),536
14,"259,920",כסרא-סמיע,"1,296"
14,"219,960",עראמשה,"1,246"
14,"219,960",משגב עם,378
14,"219,960",שתולה,1045
14,"219,960",מטולה,43
14,"219,960",יראון,623
14,"259,920",בית ג'ן,480
12,"213,240",עזוז,328
12,"213,240",עין אל-אסד,546
12,"213,240",עין זיוון,"4,503"
12,"213,240",סמר,"1,156"
12,"213,240",עידן,"1,175"
12,"213,240",עין הנצי&quot;ב,383
12,"213,240",תפרח,709
12,"213,240",תל תאומים,1283
12,"186,000",סח'נין,
12,"213,240",סלמה,1245
12,"213,240",עין חצבה,"1,053"
12,"213,240",ספיר,"1,176"
12,"213,240",עבדון,892
12,"213,240",שדה נחום,259
12,"213,240",עין יהב,806
12,"213,240",שדי תרומות,2057
12,"213,240",קטורה,1052
12,"213,240",שומרייה,1265
12,"213,240",קצר א-סר,1347
12,"213,240",קריית ארבע,3611
12,"213,240",קשת,4006
12,"213,240",סאסא,578
12,"213,240",ראס אל-עין,1334
12,"213,240",שדמות מחולה,3578
12,"213,240",רועי,"3,619"
12,"213,240",עין יעקב,813
12,"213,240",רותם,"3,782"
12,"213,240",רחוב,854
12,"213,240",ריחאנייה,540
12,"213,240",רמות נפתלי,372
12,"213,240",רמת מגשימים,"4,701"
12,"213,240",שאר ישוב,324
12,"213,240",שדה אליהו,304
12,"213,240",שדה נחמיה,329
12,"213,240",צפת,8000
12,"213,240",שייח 'דנון,658
12,"213,240",צוריאל,774
12,"213,240",צוקים,1262
12,"213,240",תל קציר,719
12,"213,240",עין תמר,"1,251"
12,"186,000",עכו,
12,"213,240",עלמה,688
12,"213,240",עמיר,319
12,"213,240",עראבה,531
12,"213,240",ערב אל נעים,1335
12,"213,240",פארן,1151
12,"213,240",שער הגולן,264
12,"213,240",שעב,538
12,"213,240",שניר,1132
12,"213,240",שמיר,366
12,"213,240",שדה אליעזר,861
12,"213,240",פצאל,3615
12,"213,240",פקיעין חדשה,281
12,"213,240",צבעון,1213
12,"213,240",צופר,1150
12,"213,240",פני חבר,3723
12,"186,000",מזרעה,
12,"186,000",סאג'ור,
12,"213,240",דגניה ב',79
12,"213,240",האון,702
12,"213,240",דריג'את,1349
12,"213,240",דן,303
12,"213,240",דלתון,431
12,"186,000",דייר חנא,
12,"186,000",דייר אל-אסד,
12,"213,240",דגניה א',62
12,"213,240",הילה,1208
12,"213,240",גשר,305
12,"213,240",גרופית,1129
12,"213,240",גורנות הגליל,1219
12,"213,240",גורן,755
12,"213,240",ג'ש( גוש חלב),487
12,"186,000",ג'דיידה-מכר,
12,"213,240",הגושרים,356
12,"213,240",חוסן,662
12,"213,240",ירכא,502
12,"213,240",טירת צבי,268
12,"213,240",יפית,3566
12,"213,240",יסוד המעלה,29
12,"213,240",יטבתה,866
12,"213,240",יושיביה,803
12,"213,240",יונתן,4007
12,"186,000",טמרה,
12,"213,240",טובא-זנגרייה,962
12,"213,240",חוסנייה,1332
12,"186,000",טבריה,
12,"213,240",חצור הגלילית,2034
12,"213,240",חצבה,13
12,"213,240",חספין,4005
12,"213,240",חמדת,3646
12,"213,240",חמדיה,343
12,"213,240",בר יוחאי,1191
12,"186,600",בצת,589
12,"186,000",בענה,
12,"213,240",אום בטין,"1,358"
12,"213,240",אל סייד,"1,359"
12,"213,240",אל- רום,"4,003"
12,"213,240",אילות,"1,126"
12,"213,240",אילון,294
12,"213,240",אורטל,"4,013"
12,"213,240",אור הגנוז,"1,294"
12,"213,240",אודם,"4,010"
12,"213,240",בית שאן,9200
12,"213,240",אבנת,"3,786"
12,"213,240",אבני איתן,"4,011"
12,"213,240",אבן מנחם,"1,081"
12,"213,240",אבירים,"1,220"
12,"213,240",אבו תלול,"1,375"
12,"213,240",אבו קורינאת( יישוב),1342
12,"213,240",אלומות,330
12,"213,240",אלי-עד,"4,002"
12,"213,240",אליפז,"1,248"
12,"213,240",אלקוש,603
12,"213,240",אספר,"3,754"
12,"213,240",אפיק,"4,301"
12,"213,240",אפיקים,176
12,"213,240",ארגמן,"3,598"
12,"213,240",אשדות יעקב( איחוד),199
12,"213,240",אשדות יעקב( מאוחד),199
12,"213,240",באר אורה,21
12,"213,240",באר מילכה,1278
12,"213,240",בוקעאתא,4001
12,"213,240",ביר הדאג',1348
12,"213,240",בית הלל,322
12,"213,240",בית זרע,143
12,"213,240",בית יוסף,265
12,"213,240",ירדנה,2026
12,"213,240",יהל,1158
12,"186,000",כאבול,
12,"213,240",מגאר,481
12,"186,000",אבו סנאן,473
12,"213,240",מחולה,3599
12,"213,240",מיצר,4019
12,"213,240",מירון,607
12,"213,240",מכחול,1343
12,"213,240",מנות,1205
12,"213,240",מסדה,263
12,"213,240",מעגן,678
12,"213,240",מעוז חיים,272
12,"213,240",מעון,3657
12,"213,240",מעונה,570
12,"213,240",מרום גולן,4101
12,"213,240",משואה,3605
12,"213,240",משכיות,3785
12,"213,240",נאות הכיכר,1124
12,"213,240",נאות מרדכי,408
12,"213,240",נאות סמדר,1197
12,"226,560",נהרייה,9100
12,"213,240",נוב,4304
12,"213,240",נווה אור,590
12,"213,240",נווה אטי&quot;ב,4303
12,"213,240",נווה איתן,296
12,"213,240",נווה זיו,1314
12,"213,240",נווה חריף,1279
12,"213,240",נחף,522
12,"213,240",ניצנה( קהילת חינוך),1195
12,"213,240",ניצני סיני,1280
12,"213,240",נמרוד,4035
12,"213,240",נעמ&quot;ה,3713
12,"213,240",מולדה,1360
12,"213,240",מנחמיה,48
12,"213,240",תרבין א-צאנע( יישוב),1346
12,"213,240",כרם בן זמרה,664
12,"213,240",כפר גלעדי,76
12,"213,240",כפר בלום,357
12,"213,240",כנרת( קבוצה),57
12,"213,240",כפר חרוב,4004
12,"213,240",כנרת( מושבה),63
12,"213,240",כפר סאלד,345
12,"213,240",כפר רופין,295
12,"213,240",כמאנה,"1,331"
12,"213,240",כמהין,"1,291"
12,"213,240",כחלה,"1,367"
12,"213,240",מבוא חמה,4204
12,"213,240",כדיתה,"1,338"
12,"186,000",מג'ד אל-כרום,
12,"213,240",כפר חושן,609
12,"213,240",לוטן,1255
10,"180,000",פרוד,599
10,"180,000",קצרין,4100
10,"180,000",סוסיה,3756
10,"180,000",עברון,376
10,"180,000",טפחות,1214
10,"180,000",תלם,3719
10,"180,000",רביבים,354
10,"180,000",עין גב,273
10,"180,000",נטור,4014
10,"180,000",שפר,846
10,"180,000",סער,
10,"180,000",קליה,3601
10,"180,000",אמירים,"1,064"
10,"180,000",צאלים,413
10,"180,000",כלנית,"1,229"
10,"180,000",שבי דרום,"1,377"
10,"180,000",שמעה,3784
10,"180,000",משאבי שדה,421
10,"180,000",גשר הזיו,574
10,"180,000",שדה בוקר,885
10,"180,000",געתון,463
10,"180,000",מחנה יוכבד,1416
10,"180,000",לימן,674
10,"180,000",לבנים,1230
10,"180,000",כברי,576
10,"180,000",כפר שמאי,605
10,"180,000",בן עמי,712
10,"180,000",עמוקה,"1,212"
10,"180,000",בית הערבה,3645
10,"180,000",שזור,527
10,"180,000",שחרות,1266
10,"180,000",חזון,1047
10,"180,000",בירייה,368
10,"180,000",שיטים,1267
10,"180,000",מעיליא,518
10,"180,000",מצדות יהודה,3745
10,"180,000",מצובה,325
10,"180,000",עתניאל,3748
10,"180,000",מרחב עם,1340
10,"180,000",כפר חנניה,1297
